Source,Target,Type,Id,Label,Weight,shipid
Saburodayu,Hyōgo,Undirected,1283,,8,681
Taro,Muro,Undirected,1285,,1,4
Gorotaro,Muro,Undirected,1286,,1,8
Emon,Yura,Undirected,1287,,3,1149
Jirozaburo1,Yura,Undirected,1288,,7,1955
Magogoro,Hayashi,Undirected,1289,,1,33
Hyoetaro,Matsue,Undirected,1290,,10,1461
Emongoro,Hyōgo,Undirected,1291,,14,1857
Emontaro,Mihara,Undirected,1292,,10,1797
Hyoetaro,Yuge,Undirected,1293,,5,1015
Shirozaburo,Tonda,Undirected,1294,,1,63
Magoshiro,Nogami,Undirected,1295,,2,591
Emon,Sumoto,Undirected,1298,,2,74
Emonkuro,Hyōgo,Undirected,1300,,11,1650
Jiro2,Hyōgo,Undirected,1303,,1,77
Hyoetaro,Tsurajima,Undirected,1304,,4,1800
Emonzaburo,Hyōgo,Undirected,1306,,24,1816
Jirozaburo1,Utatsu,Undirected,1308,,4,440
Emongoro,Yura,Undirected,1311,,1,102
Saburo,Mihara,Undirected,1312,,5,950
Magotaro,Mihara,Undirected,1313,,4,293
Hyoetaro,Hiketa,Undirected,1314,,2,457
Emontaro,Shimotsui,Undirected,1317,,9,1747
Shirozaburo,Setoda,Undirected,1318,,13,1771
Saemonshiro,Hiketa,Undirected,1320,,1,140
Emontaro,Hyōgo,Undirected,1322,,9,1580
Emonshiro,Onomichi,Undirected,1323,,4,804
Doei,Onomichi,Undirected,1325,,3,164
Magotaro,Sanbonmatsu,Undirected,1328,,1,182
Hyoetaro,Yura,Undirected,1330,,1,201
Emonjiro,Ushimado,Undirected,1332,,9,1562
Saburotaro,Ushimado,Undirected,1334,,19,1768
Gorotaro,Mihara,Undirected,1335,,8,1462
Dokan,Hyōgo,Undirected,1336,,11,1926
Emontaro,Teshima,Undirected,1337,,2,216
Saemonkuro,Shimonoseki,Undirected,1339,,1,224
Hyoetaro,Shimotsui,Undirected,1340,,3,225
Tojiro,Onomichi,Undirected,1343,,9,1777
Saemonkuro,Tajima,Undirected,1345,,7,1385
Hyoetaro,Mihara,Undirected,1349,,7,1320
Emonzaburo,Ushimado,Undirected,1355,,10,1626
Magokuro,Onomichi,Undirected,1356,,7,1853
Doei,Ushimado,Undirected,1358,,5,738
Emonjiro,Murotsu,Undirected,1363,,7,1301
Donen,Hyōgo,Undirected,1366,,5,1198
Jirozaburo1,Tomo,Undirected,1371,,1,330
Hyoetaro,Hyōgo,Undirected,1373,,7,1141
Saemonkuro,Hyōgo,Undirected,1374,,1,343
Kiya,Hyōgo,Undirected,1375,,1,348
Hyoetaro,Ushimado,Undirected,1381,,5,1748
Emonkuro,Shimotsui,Undirected,1382,,8,1613
Saemonshiro,Tajima,Undirected,1387,,1,374
Jirozaburo1,Atsu,Undirected,1393,,1,405
Magoshiro,Yuge,Undirected,1394,,1,406
Jirozaburo1,Shiwaku,Undirected,1395,,1,408
Saemonkuro,Utatsu,Undirected,1396,,7,1892
Shirozaburo,Onomichi,Undirected,1397,,3,1909
Saemonshiro,Ushimado,Undirected,1400,,6,1509
Emongoro,Aboshi,Undirected,1404,,28,1691
Saburotaro,Inbe,Undirected,1410,,10,1133
Hyoetaro,Murotsu,Undirected,1416,,1,519
Saburo,Hyōgo,Undirected,1417,,5,1209
Gorotaro,Ushimado,Undirected,1418,,1,525
Taro,Hyōgo,Undirected,1434,,5,1902
Hyoetaro,Hirashima,Undirected,1438,,1,562
Emontaro,Hibi,Undirected,1442,,2,570
Magotaro,Mitsunoshō,Undirected,1468,,1,638
Emonzaburo,Itsu,Undirected,1474,,11,1741
Emonshiro,Shiwaku,Undirected,1477,,1,664
Emongoro,Setoda,Undirected,1480,,1,674
Emonshiro,Hyōgo,Undirected,1481,,10,1914
Emongoro,Matsue,Undirected,1484,,5,1878
Emonkuro,Iwaya,Undirected,1486,,3,722
Jirozaburo1,Ushimado,Undirected,1492,,1,739
Emonzaburo,Inbe,Undirected,1493,,5,1824
Emongoro,Mihara,Undirected,1499,,1,749
Emonzaburo,Aji,Undirected,1506,,1,762
Emongoro,Inbe,Undirected,1516,,7,973
Magojiro,Fukudomari,Undirected,1521,,9,1815
Magokuro,Yanai,Undirected,1523,,1,812
Emonzaburo,Shishikui,Undirected,1527,,3,1392
Jirozaburo1,Amagasaki,Undirected,1528,,12,1938
Saburotaro,Amagasaki,Undirected,1529,,5,1588
Hyoetaro,Kaifu,Undirected,1532,,2,1127
Emonzaburo,Amagasaki,Undirected,1533,,1,852
Emonzaburo,Setoda,Undirected,1535,,2,1092
Magoshiro,Muro,Undirected,1563,,1,960
Saemonshiro,Tsurajima,Undirected,1564,,2,964
Saburo,Sakai,Undirected,1588,,4,1925
Saburotaro,Hiketa,Undirected,1592,,1,1053
Emonjiro,Ihozumi,Undirected,1597,,1,1074
Gorotaro,Yura,Undirected,1598,,1,1077
Saburo,Kuise,Undirected,1603,,17,1940
Emonjiro,Muro,Undirected,1604,,1,1098
Jirozaburo1,Muro,Undirected,1605,,3,1623
Saemonshiro,Muro,Undirected,1617,,1,1146
Emonkuro,Amagasaki,Undirected,1620,,6,1786
Emongoro,Muro,Undirected,1624,,1,1188
Emontaro,Bessho,Undirected,1631,,3,1639
Emonjiro,Hyōgo,Undirected,1636,,5,1583
Emontaro,Muro,Undirected,1639,,1,1242
Hyoetaro,Kōsai,Undirected,1657,,3,1323
Emonjiro,Kuise,Undirected,1660,,2,1652
Jirozaburo1,Kuise,Undirected,1668,,1,1356
Magojiro,Sakoshi,Undirected,1677,,1,1390
Emontaro,Kuise,Undirected,1681,,2,1636
Emonjiro,Naba,Undirected,1685,,7,1967
Hyoetaro,Muro,Undirected,1690,,3,1944
Hyoetaro,Takenokuchi,Undirected,1694,,1,1470
Saburo,Muro,Undirected,1697,,2,1687
Emonshiro,Kuise,Undirected,1703,,1,1515
Saburotaro,Muro,Undirected,1709,,1,1536
Magogoro,Utatsu,Undirected,1711,,1,1549
Emontaro,Ushimado,Undirected,1714,,1,1558
Sezen,Hyōgo,Undirected,1717,,1,1564
Emonjiro,Amagasaki,Undirected,1718,,3,1836
Saburotaro,Utatsu,Undirected,1719,,1,1572
Shirozaburo,Sakoshi,Undirected,1720,,1,1576
Taro,Amagasaki,Undirected,1721,,1,1578
Emontaro,Inbe,Undirected,1741,,3,1630
Taro,Kuise,Undirected,1747,,2,1637
Jiro1,Bessho,Undirected,1749,,1,1638
Saemonshiro,Hibi,Undirected,1760,,3,1672
Jirozaburo1,Tsurajima,Undirected,1763,,1,1676
Magojiro,Tomo,Undirected,1764,,2,1679
Emonzaburo,Aga,Undirected,1774,,1,1700
Saemonshiro,Kuise,Undirected,1775,,2,1702
Saburo,Amagasaki,Undirected,1777,,1,1724
Saburodayu,Mushiake,Undirected,1788,,1,1759
Magotaro,Muro,Undirected,1795,,1,1795
Magoshiro,Ushimado,Undirected,1799,,1,1810
Jirozaburo1,Hyōgo,Undirected,1812,,3,1843
Emonjiro,Aboshi,Undirected,1819,,4,1862
Jirozaburo1,Tsuruhashi,Undirected,1823,,1,1877
Jiro1,Kuise,Undirected,1827,,1,1901
Emonkuro,Utatsu,Undirected,1830,,1,1908
Emontaro,Onomichi,Undirected,1835,,3,1916
Emon,Amagasaki,Undirected,1840,,2,1930
