Source,Target,Type,Id,Label,Weight,shipid
Magoshiro,Ejima,Undirected,0,,1,1
Emontaro,Hirashima,Undirected,1,,14,1798
Donen,Shima,Undirected,2,,27,1948
Magotaro,Nakashō,Undirected,10,,20,1951
Jiro2,Mugi,Undirected,11,,1,17
Kiya,Yura,Undirected,12,,111,1574
Magotaro,Hayashi,Undirected,21,,1,33
Jirozaburo1,Kanno.ura,Undirected,22,,19,1213
Jirozaburo1,Kaifu,Undirected,24,,44,1155
Jirozaburo1,Matsue,Undirected,25,,1,38
Jirozaburo1,Anaka,Undirected,26,,1,39
Emontaro,Amagasaki,Undirected,27,,6,1286
Emontaro,Hiketa,Undirected,28,,19,1871
Gorotaro,Aji,Undirected,29,,5,1883
Kiya,Shishikui,Undirected,31,,12,1882
Emonshiro,Setoda,Undirected,32,,71,1896
Shirozaburo,Tonda,Undirected,34,,1,63
Sezen,Tonda,Undirected,36,,5,597
Kiya,Sumoto,Undirected,38,,3,281
Magotaro,Nohara,Undirected,40,,14,1850
Magotaro,Katamoto,Undirected,41,,3,965
Jirozaburo1,Hirayama,Undirected,45,,39,1746
Emonkuro,Hachihama,Undirected,46,,16,1616
Gorotaro,Sōji.in,Undirected,51,,1,103
Kiya,Matsue,Undirected,52,,44,1942
Jirozaburo1,Hyōgo,Undirected,56,,2,683
Emonkuro,Ushimado,Undirected,59,,174,1875
Dokan,Setoda,Undirected,60,,1,123
Tayuzaburo,Tomo,Undirected,61,,25,1680
Magotaro,Setoda,Undirected,70,,19,1771
Emonshiro,Onomichi,Undirected,77,,10,1777
Hyoetaro,Kaminoseki,Undirected,79,,12,291
Jirozaburo1,Nawari,Undirected,91,,3,388
Jirozaburo1,Maenohama,Undirected,93,,1,147
Jirozaburo1,Mugi,Undirected,100,,8,1215
Magotaro,Onomichi,Undirected,103,,33,1909
Tayuzaburo,Onomichi,Undirected,107,,17,1122
Tayushiro,Warae,Undirected,116,,1,165
Kiya,Iwaya,Undirected,117,,4,722
Emonkuro,Shiwaku,Undirected,118,,19,1886
Jirozaburo1,Inunoshima,Undirected,123,,7,1933
Jirozaburo1,Tajima,Undirected,126,,1,189
Kiya,Mihara,Undirected,130,,15,1952
Magogoro,Tajima,Undirected,132,,18,1614
Saburodayu,Shimonoseki,Undirected,152,,1,224
Emontaro,Sanbonmatsu,Undirected,165,,25,1873
Dokan,Mitsunoshō,Undirected,168,,4,1512
Jirozaburo1,Onomichi,Undirected,169,,11,1554
Emonkuro,Katamoto,Undirected,170,,9,1860
Emontaro,Aji,Undirected,172,,1,271
Magogoro,Tomo,Undirected,205,,2,301
Saburo,Sōji.in,Undirected,212,,1,308
Kiya,Murotsu,Undirected,221,,7,1301
Emonkuro,Setoda,Undirected,251,,2,378
Kiya,Kanno.ura,Undirected,255,,3,1761
Saburotaro,Aboshi,Undirected,265,,84,1813
Kiya,Yo.i,Undirected,267,,2,403
Emonkuro,Atsu,Undirected,269,,1,405
Dokan,Kōsai,Undirected,270,,14,1879
Jirozaburo1,Inbe,Undirected,276,,37,1824
Gorotaro,Mitsunoshō,Undirected,311,,4,1364
Emonshiro,Minamiura,Undirected,323,,8,1775
Emonkuro,Inunoshima,Undirected,341,,3,1655
Tayuzaburo,Murotsu,Undirected,351,,1,519
Jirozaburo1,Katagami,Undirected,352,,1,524
Emonshiro,Takehara,Undirected,371,,10,1508
Emonshiro,Hirashima,Undirected,373,,3,548
Sezen,Yanai,Undirected,376,,3,812
Emonkuro,Banda,Undirected,388,,11,1912
Dokan,Hibi,Undirected,391,,2,570
Shirozaburo,Nogami,Undirected,407,,1,591
Kiya,Muya,Undirected,426,,1,614
Emonkuro,Tsuruhashi,Undirected,427,,1,615
Emonkuro,Itsu,Undirected,468,,6,1551
Kiya,Tosadomari,Undirected,470,,4,1645
Emonkuro,Hibi,Undirected,476,,3,662
Jirozaburo1,Shishikui,Undirected,479,,4,1154
Magokuro,Tajima,Undirected,483,,1,669
Kiya,Setoda,Undirected,490,,1,674
Dokan,Shido,Undirected,493,,2,682
Jirozaburo1,Sakihama,Undirected,501,,2,1214
Magojiro,Setoda,Undirected,506,,1,694
Emonkuro,Hyōgo,Undirected,543,,2,746
Donen,Nohara,Undirected,569,,3,796
Magotaro,Fukudomari,Undirected,578,,9,1815
Tayushiro,Aboshi,Undirected,582,,6,820
Magotaro,Imazaike,Undirected,588,,12,1865
Emontaro,Tachibana,Undirected,624,,3,1476
Emonkuro,Uno,Undirected,643,,2,1134
Magotaro,Hiketa,Undirected,690,,1,982
Doei,Matsue,Undirected,702,,1,1004
Emontaro,Uozaki,Undirected,717,,1,1033
Emon,Amagasaki,Undirected,719,,2,1035
Kiya,Sakai,Undirected,721,,3,1036
Emonjiro,Matsubara,Undirected,724,,8,1941
Dokan,Eigashima,Undirected,733,,6,1598
Donen,Muro,Undirected,772,,2,1223
Magotaro,Sakoshi,Undirected,804,,5,1943
Doei,Hyōgo,Undirected,809,,1,1167
Saburotaro,Warae,Undirected,833,,1,1216
Kiya,Minamiura,Undirected,837,,1,1224
Emonshiro,Iwaki,Undirected,839,,2,1377
Emonshiro,Tajima,Undirected,840,,2,1776
Tojiro,Nawari,Undirected,853,,6,1874
Saburotaro,Matsue,Undirected,857,,3,1256
Tojiro,Kaifu,Undirected,891,,7,1475
Saburotaro,Hyōgo,Undirected,905,,1,1308
Emongoro,Hiketa,Undirected,916,,1,1324
Tojiro,Mugi,Undirected,918,,3,1743
Sezen,Tsushi,Undirected,919,,1,1328
Emonshiro,Sakai,Undirected,935,,1,1363
Tojiro,Shishikui,Undirected,951,,1,1392
Saburotaro,Muro,Undirected,952,,1,1407
Saburotaro,Naba,Undirected,972,,6,1821
Kiya,Iwaki,Undirected,981,,2,1477
Kiya,Takenokuchi,Undirected,1001,,2,1470
Tojiro,Kanno.ura,Undirected,1005,,3,1880
Magotaro,Aga,Undirected,1018,,8,1867
Saemonkuro,Ushimado,Undirected,1019,,2,1503
Saemonshiro,Tsuruhashi,Undirected,1021,,1,1504
Magotaro,Aboshi,Undirected,1069,,1,1601
Magotaro,Naba,Undirected,1070,,4,1603
Emonshiro,Ushimado,Undirected,1076,,5,1767
Jiro1,Ushimado,Undirected,1077,,1,1608
Jirozaburo1,Mushiake,Undirected,1101,,2,1760
Saburotaro,Bekku,Undirected,1111,,1,1654
Donen,Itsu,Undirected,1146,,5,1741
Tojiro,Yasuda,Undirected,1194,,1,1783
Tojiro,Sakihama,Undirected,1195,,1,1784
Jirozaburo1,Mitsunoshō,Undirected,1196,,1,1785
Tojiro,Hyōgo,Undirected,1201,,1,1806
Magotaro,Hyōgo,Undirected,1206,,1,1816
Saburo,Naba,Undirected,1216,,2,1825
Emonzaburo,Matsubara,Undirected,1237,,1,1868
Emonshiro,Tsuruhashi,Undirected,1247,,2,1877
Kiya,Anaka,Undirected,1271,,1,1939
Jirozaburo1,Hinase,Undirected,1276,,1,1949
Taro,Naba,Undirected,1279,,4,1969
