shipid,cargid ,convid,convType,EntryMonth,EntryDay,fromport,NotePort,fromportJP,province,cargtype,cargqual,cargqualJP,cargquant,UoM,NoteCarg,Taxid,taxAmountKanmon,taxPayMonth,taxPayDay,NoteSekiryo,LaissezPasser1,Volume concerné1,LaissezPasser2,Volume concerné2,LaissezPasser3,Volume concerné3,LaissezPasser4,Volume concerné4,LaissezPasser5,Volume concerné5,Libellé,Note laissez-passer,capid,capname,capnameJP,NoteCap,agentid,agentname,agentnameJP,agentNote,Latitude,Longitude,note
1,1,,null,1,2,Ejima,,家嶋,Harima,fishery,holothuries,ナマコ・生海子,200,go,,1,0.120 ,1,10,,null,null,null,null,null,null,null,null,null,null,null,,265,Sukedayu,助大夫,,TOI34,Magoshiro,孫四郎,,34.676778,134.534083,
2,2,,null,1,4,Hirashima,,平嶋,Awa,wood/construction materials,bois brut,榑・クレ,130,kokume,,2,0.370 ,2,11,,null,null,null,null,null,null,null,null,null,null,null,,34,Gorojiro2,五郎次郎,,TOI14,Emontaro,衛門太郎,,33.94325,134.662806,
3,3,,null,1,4,Hyōgo,,兵庫（地下）,Settsu,tinctorial plants and wood/dyeing materials,indigo d’Extrême-Orient,藍・アヰ,1,koku,,3,0.120 ,1,4,,null,null,null,null,null,null,null,null,null,null,null,,195,Saburodayu,三郎大夫,,0,Aucun,null,,34.669639,135.174528,
3,4,,null,1,4,Hyōgo,,兵庫（地下）,Settsu,wood/construction materials,planches,材木,15,kokume,,3,0.120 ,1,4,,null,null,null,null,null,null,null,null,null,null,null,,195,Saburodayu,三郎大夫,,0,Aucun,null,,34.669639,135.174528,
4,5,,null,1,8,Muro,,室,Harima,fishery,holothuries,ナマコ・生海子,250,go,,200 000,,,,,null,null,null,null,null,null,null,null,null,null,null,,276,Taro,太郎,岡,TOI2,Bungoya,豊後屋・豊後や・ふんこや,,34.767611,134.505944,
5,6,1,B,1,8,Shima,,嶋,Sanuki,salt,shio,シヨ・塩・シヲ・シホ,40,koku,,4,0.120 ,1,18,,null,null,null,null,null,null,null,null,null,null,null,,67,Hyoekuro,兵衛九郎,,TOI6,Donen,道念,,34.482111,134.312722,
6,7,1,B,1,8,Shima,,嶋,Sanuki,rice,riz,米・コメ,3,koku,,5,0.100 ,1,8,,null,null,null,null,null,null,null,null,null,null,null,,280,Tarogoro,太郎五郎,,TOI6,Donen,道念,,34.482111,134.312722,
7,8,1,B,1,8,Shima,,嶋,Sanuki,salt,shio,シヨ・塩・シヲ・シホ,37,koku,,6,0.110 ,1,12,,null,null,null,null,null,null,null,null,null,null,null,,44,Hachiroemon,八郎衛門,,TOI6,Donen,道念,,34.482111,134.312722,
8,9,,null,1,8,Muro,,室,Harima,beans,soja,大豆,22,koku,,7,0.445 ,1,12,,null,null,null,null,null,null,null,null,null,null,null,,38,Gorotaro,五郎太郎,福ら,TOI2,Bungoya,豊後屋・豊後や・ふんこや,,34.767611,134.505944,
9,10,2,B,1,8,Shima,,嶋,Sanuki,salt,shio,シヨ・塩・シヲ・シホ,150,koku,,8,0.400 ,1,22,公方へ,null,null,null,null,null,null,null,null,null,null,null,,196,Saburoemon,三郎衛門,四百五十文代替正廿二,TOI6,Donen,道念,,34.482111,134.312722,
