Id,Label,nodetype,latitude,longitude,modularity_class,X,Y,Size,Color
Ejima,Ejima,Port,34.676778,134.534083,8,-154.943619,140.663773,10,"#df89ff"
Hirashima,Hirashima,Port,33.94325,134.662806,10,115.813049,246.7397,10,"#ff5584"
Hyōgo,Hyōgo,Port,34.669639,135.174528,7,206.747711,133.536118,10,"#73c000"
Muro,Muro,Port,34.767611,134.505944,8,-114.943626,209.945801,10,"#df89ff"
Shima,Shima,Port,34.482111,134.312722,9,-122.836876,-273.498566,10,"#00c4ff"
Kuise,Kuise,Port,34.717917,135.438028,7,196.747711,185.49765,10,"#73c000"
Nakashō,Nakashō,Port,34.742861,134.389972,8,-164.943619,123.343262,10,"#df89ff"
Mugi,Mugi,Port,33.669444,134.418361,3,124.348274,-173.999512,10,"#ff8805"
Yura,Yura,Port,34.29225,134.944639,8,-134.943619,106.022751,10,"#df89ff"
Mihara,Mihara,Port,34.397739,133.078049,3,154.348267,-260.602051,10,"#ff8805"
Tarumi,Tarumi,Port,34.629722,135.053556,2,-73.486511,-64.795341,10,"#c0c0c0"
Hibi,Hibi,Port,34.459278,133.925417,7,216.747711,116.215614,10,"#73c000"
Kannonji,Kannonji,Port,34.128111,133.649167,12,5.98994,-38.853657,10,"#4c463e"
Shimotsui,Shimotsui,Port,34.438083,133.797389,3,104.348274,-208.640518,10,"#ff8805"
Hayashi,Hayashi,Port,34.6465,134.972111,8,-144.943619,192.62529,10,"#df89ff"
Kanno.ura,Kanno.ura,Port,33.548389,134.300472,5,-144.209015,-13.257704,10,"#00bd94"
Kaifu,Kaifu,Port,33.59425,134.355417,9,-82.836876,-204.216522,10,"#00c4ff"
Matsue,Matsue,Port,34.653583,134.959111,3,124.348274,-139.35849,10,"#ff8805"
Anaka,Anaka,Port,34.271056,134.670389,7,266.747711,133.536118,10,"#73c000"
Amagasaki,Amagasaki,Port,34.713861,135.418167,8,-154.943619,175.304779,10,"#df89ff"
Hiketa,Hiketa,Port,34.226861,134.403528,10,95.813049,177.457672,10,"#ff5584"
Aji,Aji,Port,34.388222,134.130333,9,-12.836873,-221.537033,10,"#00c4ff"
Shishikui,Shishikui,Port,33.567444,134.304861,7,226.747711,29.613071,10,"#73c000"
Setoda,Setoda,Port,34.305,133.088806,9,-52.836872,-290.819061,10,"#00c4ff"
Shiwaku,Shiwaku,Port,34.38775,133.783972,10,35.813053,246.7397,10,"#ff5584"
Tadatsu,Tadatsu,Port,34.270889,133.751889,9,-92.836876,-221.537033,10,"#00c4ff"
Yuge,Yuge,Port,34.258083,133.205389,3,164.348267,-139.35849,10,"#ff8805"
Hakata,Hakata,Port,34.207333,133.092417,4,64.753929,70.235413,10,"#c0c0c0"
Tonda,Tonda,Port,34.074083,131.755611,9,-32.836872,-186.896011,10,"#00c4ff"
Takasaki,Takasaki,Port,34.333222,132.937833,8,-104.943626,157.984283,10,"#df89ff"
Nogami,Nogami,Port,34.056139,131.801139,8,-164.943619,192.62529,10,"#df89ff"
Sumoto,Sumoto,Port,34.343889,134.89725,8,-44.943623,123.343262,10,"#df89ff"
Tsurajima,Tsurajima,Port,34.547,133.732694,3,144.348267,-243.28154,10,"#ff8805"
Nohara,Nohara,Port,34.342806,134.035056,12,55.989941,13.107868,10,"#4c463e"
Katamoto,Katamoto,Port,34.341389,134.097861,10,125.813049,194.778168,10,"#ff5584"
Utatsu,Utatsu,Port,34.308389,133.825722,9,-62.836872,-238.857544,10,"#00c4ff"
Hirayama,Hirayama,Port,34.354611,133.577972,12,-4.01006,13.107868,10,"#4c463e"
Hachihama,Hachihama,Port,34.552389,133.943722,10,15.813053,212.098679,10,"#ff5584"
Sōji.in,Sōji.in,Port,34.060861,134.208694,6,-75.008591,-113.276779,10,"#c0c0c0"
Sanbonmatsu,Sanbonmatsu,Port,34.253222,134.338778,5,-94.209015,4.062805,10,"#00bd94"
Ushimado,Ushimado,Port,34.61775,134.15775,8,-34.943623,140.663773,10,"#df89ff"
Tomo,Tomo,Port,34.385444,133.379861,7,116.747711,81.574593,10,"#73c000"
Onomichi,Onomichi,Port,34.4105,133.20275,12,105.989937,-4.212639,10,"#4c463e"
Kaminoseki,Kaminoseki,Port,33.831028,132.110833,9,-82.836876,-169.575516,10,"#00c4ff"
Nawari,Nawari,Port,33.426222,134.019611,12,125.989937,-38.853657,10,"#4c463e"
Maenohama,Maenohama,Port,33.543194,133.664056,9,-2.836873,-204.216522,10,"#00c4ff"
Warae,Warae,Port,34.434111,133.282333,12,75.989937,-21.533148,10,"#4c463e"
Iwaya,Iwaya,Port,34.589194,135.017139,7,136.747711,81.574593,10,"#73c000"
Banda,Banda,Port,34.564611,134.025639,10,115.813049,212.098679,10,"#ff5584"
Inunoshima,Inunoshima,Port,34.564583,134.103861,12,105.989937,-38.853657,10,"#4c463e"
Tajima,Tajima,Port,34.366167,133.303528,9,-62.836872,-308.139587,10,"#00c4ff"
Teshima,Teshima,Port,34.398444,133.668806,3,104.348274,-243.28154,10,"#ff8805"
Moji,Moji,Port,33.947639,130.967472,12,35.989941,-21.533148,10,"#4c463e"
Shimonoseki,Shimonoseki,Port,33.951583,130.9255,9,17.163126,-204.216522,10,"#00c4ff"
Niho,Niho,Port,34.370139,132.495222,9,-62.836872,-204.216522,10,"#00c4ff"
Mitsunoshō,Mitsunoshō,Port,34.296306,133.194,12,45.989941,30.428377,10,"#4c463e"
Iwaki,Iwaki,Port,34.248417,133.145806,12,35.989941,-90.815178,10,"#4c463e"
Murotsu,Murotsu,Port,34.520694,134.87875,8,-14.943624,106.022751,10,"#df89ff"
Kamakari,Kamakari,Port,34.1875,132.69025,12,85.989937,-38.853657,10,"#4c463e"
Aboshi,Aboshi,Port,34.786222,134.587361,8,-114.943626,106.022751,10,"#df89ff"
Yo.i,Yo.i,Port,34.375028,134.757639,11,-43.039364,-38.853657,10,"#c0c0c0"
Atsu,Atsu,Port,34.59725,134.016389,8,-54.943623,244.586823,10,"#df89ff"
