name,community
家嶋,19
平嶋,0
兵庫（地下）,2
室,2
嶋,1
杭瀬,2
中庄,19
麦井・牟井・牟木,1
由良,2
三原,2
垂水,3
日比,12
観音寺,0
下津井,12
林,4
甲浦,0
海部,0
松江,2
あなか・阿那賀,8
尼崎,2
引田,2
庵治・阿治・菴治,1
宍唯・宍咋,1
瀬戸田,1
塩飽,2
多田津・多々津,2
弓削・以下・弓梳,0
はか田・葉賀田,5
富田,2
高崎,2
野上,0
須本・州本,2
連嶋,2
野原,0
方本,8
宇田津・宇多津,2
平山,0
八浜・八潟,0
惣寺院,6
三本松,12
牛窓,2
鞆,2
尾道,12
上関,0
直利・なわり・奈半利,0
前浜,8
蕭江,7
岩屋,1
番田,8
犬嶋,0
田嶋,0
手嶋,12
門司・文字,0
下関,0
丹穂,19
三庄,0
岩木,0
室津,2
蒲苅,0
網干・アホシ,2
与井,9
阿津,2
香西・幸西,0
伊部・伊阝,2
笠岡,0
南浦,8
堺,2
方上,1
魚崎,16
竹原,1
楊井,0
郡,1
武屋・撫養,19
靍箸,2
伊津,1
土佐泊,19
志度,0
先浜,8
さなき,0
福泊,2
今在家,12
西宛,0
橘,2
宇野,2
松原,2
営嶋・栄嶋,12
伊保角,2
二見,10
坂越,2
今郷,11
別所,12
西宮,2
都志,13
梶嶋（椎嶋）,19
那波,2
竹口,1
阿賀・英賀,1
日成・日那志,1
虫明・虫上,2
別宮,14
飾万津,15
須磨,16
安田,17
船上,18
大畠,19
